"text","givenName","gender","correct_logical","correct_gender","genderIndicators"
"Anttila, Sirkka-Liisa","liisa","female",1,"female",2
"Hietala, Pertti Vilho Antero","antero","male",1,"male",3
"Antvuori, Pirjo-Riitta","pirjo","female",1,"female",2
"Apukka, Asko Asser","asko","male",1,"male",1
"Astala, Heli Hellevi","heli","female",1,"female",2
"Hilpelä, Liisa Sisko","liisa","female",1,"female",2
"Backman, Jouni Ensio","jouni","male",1,"male",1
"Hokkanen, Matti Heikki Johannes","johannes","male",1,"male",3
"Holvitie, Tapio Johannes","johannes","male",1,"male",2
"Hurskainen (e. Hurskainen-Leppänen), Ulla Sinikka","ulla","female",1,"female",2
"Huuhtanen, Jorma Kalevi","jorma","male",1,"male",2
"Häkämies, Kari Pekka","kari","female",0,"male",2
"Hämäläinen, Tuulikki Katriina","katriina","female",1,"female",2
"Björklund, Ilkka-Christian","christian","male",1,"male",2
"Ikkala, Olli Kustaa","olli","male",1,"male",1
"Björkstrand, Hilding Gustav Mattias","mattias","male",1,"male",2
"Ikonen, Pirkko Tuulikki","pirkko","female",1,"female",2
"Bärlund, Kaj-Ole Johannes (Kaj)","johannes","male",1,"male",3
"Isohookana-Asunmaa, Tytti Maria","maria","female",1,"female",2
"Laaksonen, Timo Kalevi","timo","male",1,"male",2
"Jaakonsaari, Liisa Anneli","liisa","female",1,"female",2
"Jansson, Frey Gunnar Erkki","gunnar","male",1,"male",3
"Joenpalo, Ilkka Eero Olavi","eero","male",1,"male",3
"Lahtinen, Matti Heikki Juhani","matti","male",1,"male",3
"Jokinen, Anna-Liisa","anna","female",1,"female",2
"Jokiniemi, Esko Juhani","esko","male",1,"male",2
"Lahtinen, Pertti Kalevi","pertti","male",1,"male",2
"Jouppila, Riitta Maire Kaarina","riitta","female",1,"female",3
"Lahti-Nuuttila, Pentti Juhani","pentti","male",1,"male",2
"Juhantalo, Kauko Johannes","johannes","male",1,"male",2
"Mäkinen (e. Jurva), Marita Anna-Liisa","anna","female",1,"female",3
"Laitinen, Kauko Juhani","juhani","male",1,"male",2
"Järvenpää, Heikki Mikael","mikael","male",1,"male",2
"Lamminen, Nils Paavo Kalevi","nils","male",1,"male",3
"Lapiolahti, Arto Kalervo","arto","male",1,"male",1
"Laurila, Ritva Tellervo","ritva","female",1,"female",1
"Järvisalo (e. Järvisalo-Kanerva), Riitta Irmeli","riitta","female",1,"female",2
