"text","givenName","gender","correct_logical","correct_gender","genderIndicators"
"Granvik, Nils-Anders Ingemar","anders","male",1,"male",3
"Harkimo, Leena-Kaisa (Leena)","leena","female",1,"female",2
"Hemmilä, Pertti Aatos","pertti","male",1,"male",1
"Hiltunen, Lea Rakel","lea","female",1,"female",2
"Huovinen, Krista Anri Susanna","krista","female",1,"female",3
"Häkämies, Jyri Jukka","jukka","male",1,"male",2
"Kanerva, Erkki Evert","erkki","male",1,"male",2
"Karhu, Saara Elina","elina","female",1,"female",2
"Karpela, Tanja Tellervo","tanja","female",1,"female",1
"Karttunen (e. Karttunen-Raiskio), Marjukka Eija","eija","female",1,"female",2
"Katainen, Jyrki Tapani","jyrki","male",1,"male",2
"Kemppainen, Marja-Leena","leena","female",1,"female",2
"Keränen, Niilo Johannes","johannes","male",1,"male",2
"Komi, Katri Helena","helena","female",1,"female",2
"Kummola, Kalervo Juhani","juhani","male",1,"male",1
"Kurvinen, Esko Anton","anton","male",1,"male",2
"Kähkönen, Lauri Risto Kalevi","lauri","female",1,"female",3
"Kärkkäinen, Kari Juhani","kari","female",0,"male",2
"Lahtela, Seppo Tapio","tapio","male",1,"male",2
"Lehtimäki, Jouni Vesa Johannes","johannes","male",1,"male",3
"Lehtomäki, Paula Ilona","paula","female",1,"female",2
"Leppä, Jari Juhani","jari","male",1,"male",2
"Lintilä, Mika Tapani","mika","male",1,"male",2
"Mäki-Hakola, Pertti Eerik","mäki","female",0,"male",3
"Nepponen, Olli Erik","erik","male",1,"male",2
"Nousiainen, Pekka Evert Juhani","pekka","male",1,"male",3
"Oinonen, Lauri Juhani","lauri","female",1,"female",2
"Ojansuu-Kaunisto, Kirsi Johanna","johanna","female",1,"female",2
"Paasio, Heli Tuulikki","heli","female",1,"female",2
"Puhakka, Osmo Heikki","heikki","male",1,"male",2
"Rahkonen, Susanna Irene","irene","female",1,"female",2
"Rantakangas, Antti Toivo Armas","antti","male",1,"male",2
"Rauhala, Leena Maria","maria","female",1,"female",2
"Ravi, Pekka Tapani","ravi","male",1,"male",3
"Rönni, Tero Matti Johannes","tero","male",1,"male",4
"Salo, Petri Antti Juhani","petri","male",1,"male",4
"Seppälä, Arto Eemil","arto","male",1,"male",1
"Seppälä, Jorma Timo Antero","timo","male",1,"male",3
"Sinnemäki, Anni Milja Maaria","anni","female",1,"female",3
"Syvärinen, Katja Maarika","katja","female",1,"female",1
"Tiura, Marja Johanna","johanna","female",1,"female",2
"Turtiainen, Pertti Kalevi","pertti","male",1,"male",2
"Valpas, Unto Olavi","olavi","male",1,"male",2
"Vahasalo, Raija Elina","elina","female",1,"female",2
"Vilén, Jari Pekka Olavi","jari","male",1,"male",3
"Vilkuna, Ilkka Pekka Väinämö","pekka","male",1,"male",2
"Virén, Lasse Artturi","lasse","male",1,"male",2
"Wallin, Harry Olavi","harry","male",1,"male",2
"Ylä-Mononen, Jaana Maria","maria","female",1,"female",2
"Neittaanmäki, Petri Juhani","petri","male",1,"male",2
"Sarkomaa, Sari Johanna","johanna","female",1,"female",2
"Kerola, Eeva Inkeri","eeva","female",1,"female",2
"Kangas, Matti Eino Antero","matti","male",1,"male",3
"Taipale, Väinö Ilkka Ilari","ilkka","male",1,"male",3
"Gestrin, Anna Christina","anna","female",1,"female",2
"Holmlund, Anne Elisabeth","anne","female",1,"female",2
"Salovaara, Pertti Eero Olavi","eero","male",1,"male",3
"Halme, Tony Christian","tony","male",1,"male",2
"Asko-Seljavaara, Sirpa Liisa (Sirpa)","liisa","female",1,"female",3
"Lahti, Jere Kaleva","jere","male",1,"male",1
"Vapaavuori, Jan Pellervo","jan","male",1,"male",1
"Soini, Timo Juhani","timo","male",1,"male",2
"Heinäluoma, Eero Olavi","eero","male",1,"male",2
"Nylander, Mikaela Birgitta","mikaela","female",1,"female",2
"Thors, Astrid Margareta Gunilla","gunilla","female",1,"female",3
"Kasvi, Jyrki Jouko Juhani","juhani","male",1,"male",3
"Kaikkonen, Antti Samuli","antti","male",1,"male",2
"Särkiniemi, Seppo Antero","antero","male",1,"male",2
"Lankia, Eero Uolevi","eero","male",1,"male",2
"Matikainen-Kallström, Marjo Tuulevi","marjo","female",1,"female",1
"Saarikangas, (Martin) Jarl-Martin Alexander","martin","male",1,"male",3
"Hemming, Katri Hanna-Leena","hanna","female",1,"female",3
"Essayah, Sari Miriam","miriam","female",1,"female",2
"Kiviranta, Esko Emil","emil","male",1,"male",2
"Jansson, Roger Karl Helge","roger","male",1,"male",3
"Kauppila, Matti Einari","matti","male",1,"male",1
"Taiveaho, Satu Kirsikka","satu","female",1,"female",2
"Lintonen, Minna Helena","helena","female",1,"female",2
"Satonen, Arto Olavi","arto","male",1,"male",2
"Pentti, Klaus Arvo Aksel","klaus","male",1,"male",4
"Alatalo, Mikko Tapio","mikko","male",1,"male",2
"Meriläinen, Rosa Anneli","rosa","female",1,"female",2
"Sirnö, Minna Maaria","minna","female",1,"female",2
"Paajanen, Reijo Kalevi","kalevi","male",1,"male",2
"Tiilikainen, Kimmo Kalevi","kimmo","male",1,"male",2
"Kiljunen, Leila Anneli","leila","female",1,"female",2
"Kettunen, Rauno Olavi","rauno","male",1,"male",2
"Virtanen, Erkki Alvar","erkki","male",1,"male",2
"Väätäinen, Tuula Anneli","anneli","female",1,"female",2
"Cronberg, Tarja Anneli","anneli","female",1,"female",2
"Reijonen, Eero Juhani","eero","male",1,"male",2
"Hoskonen, Hannu Tapio","hannu","male",1,"male",2
"Moilanen, Riikka Leena","leena","female",1,"female",2
"Hänninen, Tuomo Juhani","tuomo","male",1,"male",2
"Tölli, Tapani Olavi","olavi","male",1,"male",3
"Rajala, Lyly Paavo Juhani","lyly","female",0,"male",3
"Mustajärvi, Markus","markus","male",1,"male",1
"Rundgren, Simo Arttur","simo","male",1,"male",1
"Ahonen, Esko Olavi","esko","male",1,"male",2
"Hautala, Lasse Tapani","lasse","male",1,"male",2
"Haapoja, Aino Maria Susanna","maria","female",1,"female",3
"Kumpula-Natri, Miapetra Susanna","susanna","female",1,"female",1
"Urpilainen, Jutta Pauliina","pauliina","female",1,"female",2
"Risikko, Paula Sinikka","paula","female",1,"female",2
"Vielma, Ahti Kalervo","ahti","male",1,"male",1
"Paloniemi, Aila Annikki","aila","female",1,"female",2
"Mäkinen, Heikki Tapani","heikki","male",1,"male",2
"Tynkkynen, Topi Oras Kalevi","topi","male",1,"male",2
"Laxell, Jouko Ilmari","jouko","male",1,"male",2
"Peltokorpi, Terhi Päivikki","terhi","female",1,"female",2
"Karvonen, Tatja Marushka","marushka","female",1,"female",1
"Niinistö, Jussi Lauri Juhani","lauri","female",1,"female",3
"Paatero, Sirpa Hannele","hannele","female",1,"female",2
"Sumuvuori, Sari Johanna","johanna","female",1,"female",2
"Martikainen, Veikko Olavi","olavi","male",1,"male",2
"Surakka, Väinö Juhani","juhani","male",1,"male",2
"Virolainen (e. Stenros), Eeva Kyllikki","eeva","female",1,"female",1
"Asunmaa, Asser Matias (Matti)","matias","male",1,"male",2
"Borg, Olavi Allan","allan","male",1,"male",2
"Ekorre, Mikko Erik","erik","male",1,"male",2
"Forsman, Mauno Veikko","mauno","male",1,"male",2
"Heino-Vesihiisi (e. Heino), Tyyni Maija","maija","female",1,"female",2
"Hakala, Matti Eero","matti","male",1,"male",2
"Hannola, Matti","matti","male",1,"male",1
"Hellström, Pähr-Einar","einar","male",1,"male",1
"Hongisto, Joel Mikael","joel","male",1,"male",2
"Hyrynkangas, Helvi Inkeri","helvi","female",1,"female",2
"Hyvönen, Anna-Liisa","anna","female",1,"female",2
"Häggblom, Gunnar Bertel","gunnar","male",1,"male",2
"Hämäläinen, Niilo Eemeli","eemeli","male",1,"male",2
"Itälä, Jaakko","jaakko","male",1,"male",2
"Jokinen, Antti Pekka","antti","male",1,"male",2
"Juhola, Vuokko Onerva","vuokko","female",1,"female",2
"Juntumaa (v:een 1940 Juntunen), Armo Eino Antero","antero","male",1,"male",3
"Kivitie-Koskinen (v:een 1962 Vuorinen), Eeva Anneli","anneli","female",1,"female",2
"Järvilehto, Ulla Elina Tuulikki","ulla","female",1,"female",3
"Järvinen, Sven-Erik","erik","male",1,"male",2
"Kainulainen, Heikki Olavi","heikki","male",1,"male",2
"Kainulainen, Markus","markus","male",1,"male",1
"Kangas, Ilmi Orvokki","ilmi","female",1,"female",2
"Katajavuori, Salme Vuokko","vuokko","female",1,"female",2
"Kauppi, Eeva Ottilia","eeva","female",1,"female",1
"Kauppila, Orvokki Sinikka","sinikka","female",1,"female",2
"Kauppinen, Markku Johannes","johannes","male",1,"male",2
"Kohtala, Leo Johannes","leo","male",1,"male",2
"Koivisto, Taimi Tellervo","taimi","female",1,"female",1
"Korhonen, Erkki","erkki","male",1,"male",1
"Kurppa, Mauno Johannes","johannes","male",1,"male",2
"Laatio (v:een 1932 Lindfors), Kaino Gunnar","gunnar","male",1,"male",1
"Laitinen, Aili Anja Aleksandra","anja","female",1,"female",3
"Lampinen, Arto Erkki Juhani","arto","male",1,"male",3
"Lankinen, Sirkka","sirkka","female",1,"female",1
"Lehtinen, Lasse Antero","lasse","male",1,"male",3
"Linkomies-Pohjala (e. Karhuvaara), Sinikka Sorella","sinikka","female",1,"female",1
"Linna, Lauri Johannes","johannes","male",1,"male",3
"Loikkanen, Eino Aleksander","aleksander","male",1,"male",2
"Manninen, Mauno","mauno","male",1,"male",1
"Matikkala, Veikko Juhani","juhani","male",1,"male",2
"Mykkänen, Jouni","jouni","male",1,"male",1
"Mäkelä, Jouko Vihtori","jouko","male",1,"male",1
"Mäkynen, Toivo Henrik","henrik","male",1,"male",2
"Mänttäri, Aune","aune","female",1,"female",1
"Niemelä, Arttur (Artturi) Antero","antero","male",1,"male",1
"Nieminen-Mäkynen (e. Nieminen), Terhi Eila Helena","helena","female",1,"female",3
"Niskanen, Helvi Annikki","annikki","female",1,"female",2
"Orrenmaa, Heikki Juhani","heikki","male",1,"male",2
"Pajunen, Veikko Juhani","juhani","male",1,"male",2
"Palmunen, Lauri Ilmari","lauri","female",1,"female",2
"Pekonen, Esko Einar","einar","male",1,"male",2
"Peltola, Kati Kaarina Marjatta","kati","female",1,"female",3
"Pelttari, Matti Juhani","matti","male",1,"male",2
"Päivinen, Raimo Ensio","raimo","male",1,"male",1
"Rainio, Kullervo",NA,NA,0,"male",0
"Rantala, Jorma Onni Olavi","jorma","male",1,"male",3
"Raudasoja, Johan (Juhani) Vilhelmi","johan","male",1,"male",2
"Rautiainen, Väinö Armas","väinö","male",1,"male",1
"Rekonen, Heimo Nestori",NA,NA,0,"male",0
"Ruotsalainen, Unto Aarne","aarne","male",1,"male",2
"Salmivuori, Kaarle Frans Aleksander","frans","male",1,"male",2
"Saukko, Alvar Johannes","johannes","male",1,"male",2
"Saukkonen, Veikko Antti Juhani","antti","male",1,"male",3
"Savola, Petter Eerik Mikael","mikael","male",1,"male",3
"Sigfrids, Elly Matilda","elly","female",1,"female",2
"Sipiläinen, Kyösti Juhani","juhani","male",1,"male",2
"Sirén, Helge Sulo","helge","male",1,"male",3
"Stenbäck, Asser Immanuel","immanuel","male",1,"male",1
"Sundqvist, Ulf Ludvig","ulf","male",1,"male",2
"Suokas, Viljo","viljo","male",1,"male",1
"Suomi, Oili",NA,NA,0,"female",0
"Syrjä, Eino Kalervo","eino","female",0,"male",1
"Talvitie, Helge Jorma Johannes","johannes","male",1,"male",3
"Tapiola, Hannu Yrjö Sakari","hannu","male",1,"male",2
"Tarjanne, Pekka Johannes","johannes","male",1,"male",2
"Tarvajärvi, Niilo Einar","einar","male",1,"male",2
"Tiilikainen, Paavo Herman","herman","male",1,"male",2
"Toivanen, Irma Hellin","irma","female",1,"female",1
"Torikka, Jalmari",NA,NA,0,"male",0
"Tuominen (e. Vire-Tuominen), Terttu Mirjam","mirjam","female",1,"female",2
"Tuominen, Risto Juhani","risto","male",1,"male",2
"Tupamäki, Olavi","olavi","male",1,"male",1
"Turunen, Veikko Johannes (Veikko J.)","johannes","male",1,"male",2
"Turunen, Väinö Johannes","johannes","male",1,"male",2
"Työläjärvi (e. Salo, myöh. Humberg), Pirkko Annikki","pirkko","female",1,"female",3
"Ursin, Martti Johannes","johannes","male",1,"male",2
"Valtonen, Pirkko Mirjam","mirjam","female",1,"female",2
"Vänskä, Mauri Heimo Kalervo","mauri","male",1,"male",1
"Westerholm, Raino Olavi","olavi","male",1,"male",1
"Westerlund, Seppo Assar Kustaa","seppo","male",1,"male",2
"Wiio, Osmo Antero (Osmo A.)","antero","male",1,"male",2
"Aalto, Anna-Kaarina","anna","female",1,"female",2
"Bogdanoff (e. Lehtinen), Ulla Kaarina","ulla","female",1,"female",3
"Friberg, Ralf Hjalmar Mikael","mikael","male",1,"male",4
"Aas, Pertti Aslak","pertti","male",1,"male",3
"Aaltio, Sampsa Eino Urmas","urmas","male",1,"male",3
"Alppi, Ulla-Leena","ulla","female",1,"female",2
"Antila, Pentti Malakias","pentti","male",1,"male",1
"Eenilä, Paula Taina Tellervo","paula","female",1,"female",2
"Grönholm, Eino Olavi","olavi","male",1,"male",2
"Helminen, Olli Lauri Tapani","lauri","female",0,"male",3
"Hemmi, Kerttu Maria","maria","female",1,"female",2
"Hirvelä López (e. Hirvelä), Inger Emilia","emilia","female",1,"female",3
"Hollming, Kirsti Marjatta","kirsti","female",1,"female",2
"Huotari, Keijo Kalevi","keijo","male",1,"male",2
"Häkämies, Erkki Pekka","pekka","male",1,"male",2
"Härkönen, Esko Olavi","esko","male",1,"male",2
"Isomursu, Antti Arvo","antti","male",1,"male",2
"Jaatinen, Matti Risto Väinö","matti","male",1,"male",3
"Jartti, Heikki Valentin","valentin","male",1,"male",2
"Jokinen, Aila Irmeli","aila","female",1,"female",2
"Jokiniemi, Toivo Matias Gottfrid","matias","male",1,"male",2
"Joutsenlahti, Taito Anssi Ilmari","anssi","male",1,"male",2
"Järvenpää, Matti Heimo","matti","male",1,"male",1
"Kaipainen, Osmo Ensio","osmo","male",1,"male",1
"Karjalainen (e. Hahl, v:sta 1935 Hatva), Aino Karoliina","karoliina","female",1,"female",2
"Kivistö, Kalevi Johannes","johannes","male",1,"male",2
"Koivisto, Tellervo Maria","maria","female",1,"female",1
"Korpinen, Rauno Ensio","rauno","male",1,"male",1
"Koskenniemi, Niilo Topias","niilo","male",1,"male",1
"Koskinen, Aarne Johannes","johannes","male",1,"male",2
"Kuusio, Matti","matti","male",1,"male",1
"Laine, Eero Sakari","laine","female",0,"male",3
"Laine, Jermu Tapani","laine","female",0,"male",2
"Lattula, Eero Antero","eero","male",1,"male",2
"Lepistö, Eeli Aleksanteri","aleksanteri","male",1,"male",2
"Wallin, Stefan","stefan","male",1,"male",1
"Löyttyniemi, Pekka Johannes","johannes","male",1,"male",2
"Majlander, Olavi Enok","olavi","male",1,"male",1
"Merisaari, Arto Allan","allan","male",1,"male",2
"Mikkola, Saara Sinikka","saara","female",1,"female",2
"Muroma, Impi Karoliina","karoliina","female",1,"female",1
"Muurman, Peter Erik Alexander","peter","male",1,"male",3
"Myyryläinen, Salme Kyllikki","salme","female",1,"female",1
"Pekkala, Ahti Antti Johannes","johannes","male",1,"male",3
"Penttinen, Aarne","aarne","male",1,"male",1
"Petäjäniemi, Leena Tuulikki","leena","female",1,"female",2
"Pihlajamäki, Veikko Jaakko Uolevi","jaakko","male",1,"male",3
"Kautto, Kari Matti","kari","female",0,"male",2
"Pohjonen, Antti Oskari","antti","male",1,"male",2
"Pohto, Urho Iisakki",NA,NA,0,"male",0
"Poutanen, Pentti","pentti","male",1,"male",1
"Poutiainen, Eino","eino","female",0,"male",1
"Pukkio, Eva-Maija Irene (Eva)","irene","female",1,"female",3
"Pursiainen, Terho Martti","martti","male",1,"male",1
"Raatikainen, Kaisa","kaisa","female",1,"female",1
"Rajala, Pentti Heribert","pentti","male",1,"male",1
"Rajantie, Maija Ilta Mielikki","maija","female",1,"female",1
"Remes, Lauri Kalevi","lauri","female",0,"male",2
"Rihtniemi-Koski (e. Rihtniemi, v:een 1978 Koski), Irma","irma","female",1,"female",1
"Ronkainen, Olavi Johannes","johannes","male",1,"male",2
"Ruokola, Matti Johannes","johannes","male",1,"male",2
"Saarikoski, Helge Herman","herman","male",1,"male",2
"Sainio, Arvo Robert","robert","male",1,"male",2
"Salmenkivi, Otto Antero","otto","male",1,"male",2
"Salmi, Kaarlo Veikko","salmi","male",1,"male",3
"Impiö, Lauri Johannes","johannes","male",1,"male",2
"Salonen, Markku Mikael","mikael","male",1,"male",2
"Siikaniemi, Jouko Juhani","juhani","male",1,"male",2
"Silander, Matti Viktor","viktor","male",1,"male",2
"Starast, Vesa Veli-Pekka (Pekka)","veli","male",1,"male",3
"Stenbäck, Pär Olav Mikael","mikael","male",1,"male",3
"Suksi, Keijo Aatos","keijo","male",1,"male",1
"Suominen, Heikki Samuli (Sami)","sami","male",1,"male",3
"Sutinen, Lea","lea","female",1,"female",1
"Särkkä (e. Tiitinen), Eeva Tellervo","eeva","female",1,"female",1
"Söderström, Sten Håkansson","sten","male",1,"male",1
"Tikka, Seppo Ensio","seppo","male",1,"male",2
"Toiviainen, Seppo Esko Tapani","esko","male",1,"male",3
"Tuomaala, Ilpo Kari Juhani","kari","female",1,"female",3
"Tuovinen, Jouko Armas Antero","antero","male",1,"male",2
"Vainio, Mikko Ilmari","mikko","male",1,"male",2
"Vepsäläinen, Osmo Vilho","vilho","male",1,"male",2
"Vesterinen, Paavo Viktor (Vihtori)","viktor","male",1,"male",2
"Vikatmaa, Juha Ville","ville","male",1,"male",2
"Volotinen, Johannes (Hannes)","johannes","male",1,"male",2
"Yläjärvi, Toivo Juhani","juhani","male",1,"male",2
"Zilliacus, Jutta Armelle","armelle","female",1,"female",2
"Äikäs, Lasse Taisto","lasse","male",1,"male",1
"Arranz, Riitta-Liisa","liisa","female",1,"female",2
"Eklund, Vieno Rauha",NA,NA,0,"female",0
"Koivisto, Juho Matti","matti","male",1,"male",2
"Lähdesmäki, Martti Johannes","johannes","male",1,"male",2
"Moisander, Erkki Tarmo Olavi","erkki","male",1,"male",3
"Komsi, Viljo (Ville) Lauri Johannes","johannes","male",1,"male",4
"Kulhia, Aune-Liisa (Liisa)","liisa","female",1,"female",2
"Myllyniemi, Pekka Juhani","pekka","male",1,"male",2
"Ratu (e. Laaksonen), Martti Ilmari","ratu","female",0,"male",3
"Turpeinen-Saari, Pirkko Marjatta","pirkko","female",1,"female",2
"Enävaara, Reijo Aukusti","aukusti","male",1,"male",2
"Koskinen, Helvi","helvi","female",1,"female",1
"Alanko-Kahiluoto, Satu Outi Kristiina","satu","female",1,"female",3
"Lipponen, Päivi Pauliina","pauliina","female",1,"female",2
"Hakola, Juha Tapio","juha","male",1,"male",2
"Arhinmäki, Paavo Erkki","erkki","male",1,"male",2
"Karhuvaara, Arja Sisko Kaarina","arja","female",1,"female",3
"Perkiö, Sanna Leena","sanna","female",1,"female",2
"Ruohonen-Lerner, Pirkko Anneli","anneli","female",1,"female",2
"Karimäki, Johanna Maria","maria","female",1,"female",2
"Palm, Sari","sari","female",1,"female",2
"Blomqvist, Thomas","thomas","male",1,"male",1
"Larikka, Jari","jari","male",1,"male",1
"Pakkanen, Markku","markku","male",1,"male",1
"Guzenina, Maria","maria","female",1,"female",1
"Kuusisto, Merja","merja","female",1,"female",1
"Viitamies, Johanna Pauliina","johanna","female",1,"female",2
"Tabermann, Tommy","tommy","male",1,"male",1
"Järvinen, Heli Maria","maria","female",1,"female",2
"Feldt-Ranta, Maarit","maarit","female",1,"female",1
"Toivakka, Lenita Anneli","anneli","female",1,"female",2
"Tallqvist, Tarja","tarja","female",1,"female",1
"Lauslahti, Sanna","sanna","female",1,"female",1
"Lehti, Eero","eero","male",1,"male",1
"Oinonen, Pentti Juhani","pentti","male",1,"male",2
"Mäkelä, Jukka","jukka","male",1,"male",1
"Heikkinen, Hannakaisa",NA,NA,0,"female",0
"Katainen, Elsi Kaarina","elsi","female",1,"female",2
"Mäkelä, Outi","outi","female",1,"female",1
"Henriksson, Anna-Maja Kristina","anna","female",1,"female",3
"Uusipaavalniemi, Markku Juhani","markku","male",1,"male",2
"Nylund, Mats Johan","johan","male",1,"male",2
"Mieto, Juha Iisakki","juha","male",1,"male",1
"Yrttiaho, Jyrki Valto","jyrki","male",1,"male",1
"Puumala, Tuomo Matti Oskari","tuomo","male",1,"male",3
"Orpo, Antti Petteri","antti","male",1,"male",2
"Virolainen, Anne-Mari","anne","female",1,"female",2
"Sihto, Paula Eeva Katariina","paula","female",1,"female",3
"Kaunisto, Timo Reino Juhani","timo","male",1,"male",3
"Pihlajaniemi, Petri Antero","petri","male",1,"male",2
"Taimela, Katja Alli Maarit","katja","female",1,"female",3
"Kalmari, Anne Inkeri","anne","female",1,"female",2
"Kantola, Ilkka Tapani","ilkka","male",1,"male",2
"Peltonen, Tuula Irmeli","tuula","female",1,"female",2
"Niinistö, Ville Matti","ville","male",1,"male",2
"Virkkunen, Henna Maria","maria","female",1,"female",2
"Kataja, Sampsa Kalle Henrikki","kalle","male",1,"male",2
"Korhonen, Timo Vesa (Timo V.)","timo","male",1,"male",2
"Kiuru, Krista Katriina","krista","female",1,"female",2
"Vuolanne, Antti Johannes","johannes","male",1,"male",2
"Vehkaperä, Mirja Tellervo","mirja","female",1,"female",1
"Kyllönen, Merja Sinikka","merja","female",1,"female",2
"Kaltiokumpu, Oiva Johannes","johannes","male",1,"male",1
"Seurujärvi, Janne Antero","janne","female",0,"male",2
"Autio, Risto Juhani","risto","male",1,"male",2
"Heinonen, Timo Pasi Petteri","timo","male",1,"male",3
"Viljanen, Ilkka Antero","ilkka","male",1,"male",2
"Karvo, Ulla Marita","marita","female",1,"female",2
"Asell, Marko Tapio","marko","male",1,"male",2
"Ojala-Niemelä, Johanna","johanna","female",1,"female",1
"Jaskari, Harri Matti","matti","male",1,"male",2
"Nauclér, Charlotte Elisabeth Helene","charlotte","female",1,"female",3
